DE050C1;Tübingen;3643;3968;4102;4232;4185
DE051C1;Villingen-Schwenningen;3066;3382;3539;3771;3823
DE052C1;Flensburg;3203;3353;3404;3464;3424
DE053C1;Marburg;2716;2965;3158;3248;3200
DE054C1;Konstanz;3199;3425;3533;3662;3667
DE055C1;Neumünster;2339;2521;2593;2716;2720
DE056C1;Brandenburg an der Havel;1721;1979;2147;2414;2559
DE057C1;Gießen;2974;3213;3379;3433;3340
DE058C1;Lüneburg;2588;2792;2879;3014;3020
DE059C1;Bayreuth;3011;3404;3610;3740;3611
DE060C1;Celle;1885;2147;2274;2492;2537
DE061C1;Aschaffenburg;2913;3038;3082;3034;2878
DE062C1;Bamberg;3525;3752;3830;3810;3579
DE063C1;Plauen;2731;2866;2919;2992;2942
DE064C1;Neubrandenburg;3175;3197;3000;2880;2590
DE065C1;Fulda;1819;2042;2179;2277;2255
DE066C1;Kempten (Allgäu);3579;3987;4189;4437;4472
DE067C1;Landshut;2966;3635;3905;4401;4408
DE068C1;Sindelfingen;3921;4253;4405;4566;4571
DE069C1;Rosenheim;3080;3507;3813;4168;4350
DE070C1;Frankenthal (Pfalz);3181;3444;3561;3705;3724
DE071C1;Stralsund;2593;2629;2493;2418;2197
DE072C1;Friedrichshafen;2006;2332;2517;2734;2822
DE073C1;Offenburg;2570;2763;2862;2992;3009
DE074C1;Görlitz;2920;3115;3127;3180;3126
DE075C1;Sankt Augustin;2806;3041;3168;3351;3385
DE076C1;Neu-Ulm;2314;2503;2591;2682;2675
DE077C1;Schweinfurt;3683;3975;4117;4162;4025
DE078C1;Greifswald;3012;3070;2915;2839;2578
DE079C1;Wetzlar;2031;2253;2400;2505;2470
DE080C1;Speyer;3858;4264;4463;4740;4808
DE081C1;Passau;2034;2472;2646;2971;2967
DE082C1;Dessau-Roßlau;1743;1616;1419;1230;1021
DE501C1;Duisburg;3934;3995;4022;4024;3946
DE502C1;Mannheim;5237;5458;5556;5652;5596
DE503C1;Gelsenkirchen;4151;4411;4509;4559;4447
DE504C1;Münster;2862;3102;3185;3367;3311
DE505C1;Chemnitz;2582;2686;2705;2748;2671
DE506C1;Braunschweig;2831;2881;2907;2859;2769
DE507C1;Aachen;4078;4233;4298;4405;4363
